time,open_N,open_N-1,close_N,close_N-1,low_N,low_N-1,high_N,high_N-1,volume_N,volume_N-1,pattern_N,pattern_N-1,body_N,body_N-1,candle_height_N,candle_height_N-1,shadow_up_N,shadow_up_N-1,shadow_down_N,shadow_down_N-1,body_diff,shadow_sum_N,shadow_sum_N-1,ratio_up_shadow_to_body_N,ratio_up_shadow_to_body_N_abs,ratio_up_shadow_to_body_N-1,ratio_up_shadow_to_body_N-1_abs,ratio_down_shadow_to_body_N,ratio_down_shadow_to_body_N_abs,ratio_down_shadow_to_body_N-1,ratio_down_shadow_to_body_N-1_abs,ratio_sum_shadow_to_body_N,ratio_sum_shadow_to_body_N_abs,ratio_sum_shadow_to_body_N-1,ratio_sum_shadow_to_body_N-1_abs,ratio_of_body,ratio_of_body_abs,is_zero_body_N,is_zero_body_N-1,pattern,cluster,pca_1,pca_2
2009-03-03 15:00:00,1459,1461,1460,1458,1458,1445,1470,1476,17214,27842,1,1,1,-1,12,31,10,15,1,13,2,11,28,10.0,10.0,-15.0,15.0,1.0,1.0,-13.0,13.0,11.0,11.0,-28.0,28.0,-1.0,1.0,0,0,1,2,-5.032363968044181,1.7669326564128784
2009-03-06 14:00:00,1569,1592,1570,1567,1553,1559,1580,1592,12281,25846,1,1,1,-2,27,33,10,0,16,8,3,26,8,10.0,10.0,-0.0,0.0,16.0,16.0,-4.0,4.0,26.0,26.0,-4.0,4.0,-0.5,0.5,0,0,1,2,-5.19516484781355,1.7854803824837755
2009-03-06 23:00:00,1581,1587,1582,1578,1577,1577,1589,1592,2138,1180,1,1,1,-3,12,15,7,5,4,1,4,11,6,7.0,7.0,-1.6666666666666667,1.6666666666666667,4.0,4.0,-0.3333333333333333,0.3333333333333333,11.0,11.0,-2.0,2.0,-0.3333333333333333,0.3333333333333333,0,0,1,2,-5.5419440195502885,0.6591238981421482
2009-03-12 14:00:00,1645,1670,1656,1642,1636,1628,1660,1671,10155,28145,1,1,11,-3,24,43,4,1,9,14,14,13,15,0.36363636363636365,0.36363636363636365,-0.3333333333333333,0.3333333333333333,0.8181818181818182,0.8181818181818182,-4.666666666666667,4.666666666666667,1.1818181818181819,1.1818181818181819,-5.0,5.0,-3.6666666666666665,3.6666666666666665,0,0,1,2,-5.419252631402864,0.7074117985035837
2009-03-18 23:00:00,2139,2180,2160,2135,2135,2128,2169,2184,4387,11437,1,1,21,-4,34,56,9,4,4,7,25,13,11,0.42857142857142855,0.42857142857142855,-1.0,1.0,0.19047619047619047,0.19047619047619047,-1.75,1.75,0.6190476190476191,0.6190476190476191,-2.75,2.75,-5.25,5.25,0,0,1,2,-5.23633432317778,0.4551347167681149
2009-03-20 19:00:00,2291,2315,2305,2290,2290,2282,2331,2337,5347,30989,1,1,14,-1,41,55,26,22,1,8,15,27,30,1.8571428571428572,1.8571428571428572,-22.0,22.0,0.07142857142857142,0.07142857142857142,-8.0,8.0,1.9285714285714286,1.9285714285714286,-30.0,30.0,-14.0,14.0,0,0,1,2,-4.507165881546915,1.5807947811285445
2009-03-27 17:00:00,2240,2263,2245,2236,2206,2209,2261,2272,67508,73343,1,1,5,-4,55,63,16,9,34,27,9,50,36,3.2,3.2,-2.25,2.25,6.8,6.8,-6.75,6.75,10.0,10.0,-9.0,9.0,-1.25,1.25,0,0,1,2,-4.7435745889814385,2.223464237353843
2009-03-30 20:00:00,2000,2006,2003,1999,1996,1989,2009,2006,2779,4086,1,1,3,-1,13,17,6,0,4,10,4,10,10,2.0,2.0,-0.0,0.0,1.3333333333333333,1.3333333333333333,-10.0,10.0,3.3333333333333335,3.3333333333333335,-10.0,10.0,-3.0,3.0,0,0,1,2,-5.371576435228503,0.5327531032239884
2009-03-31 13:00:00,2042,2070,2056,2041,2039,2038,2068,2086,22845,31699,1,1,14,-1,29,48,12,16,3,3,15,15,19,0.8571428571428571,0.8571428571428571,-16.0,16.0,0.21428571428571427,0.21428571428571427,-3.0,3.0,1.0714285714285714,1.0714285714285714,-19.0,19.0,-14.0,14.0,0,0,1,2,-4.978970675122465,1.2607841507129127
2009-04-08 14:00:00,2309,2350,2342,2306,2308,2302,2358,2373,29478,67473,1,1,33,-3,50,71,16,23,1,4,36,17,27,0.48484848484848486,0.48484848484848486,-7.666666666666667,7.666666666666667,0.030303030303030304,0.030303030303030304,-1.3333333333333333,1.3333333333333333,0.5151515151515151,0.5151515151515151,-9.0,9.0,-11.0,11.0,0,0,1,2,-4.88093344732373,1.3808649606268668
